id,name,status_name,type_name,agency_name,age,date_of_birth,date_of_death,nationality__nationality_name
423,Eileen Collins,Retired,Government,National Aeronautics and Space Administration,68.0,1956-11-19,,
144,"Charles ""Scorch"" Hobaugh",Retired,Government,National Aeronautics and Space Administration,63.0,1961-11-05,,
337,Robert L. Gibson,Retired,Government,National Aeronautics and Space Administration,78.0,1946-10-30,,
279,Roberto Vittori,Active,Government,European Space Agency,60.0,1964-10-15,,
482,James F. Reilly,Retired,Government,National Aeronautics and Space Administration,71.0,1954-03-18,,
509,Piers Sellers,Died While In Active Service,Government,National Aeronautics and Space Administration,61.0,1955-04-11,2016-12-23,
602,Jerome Apt,Retired,Government,National Aeronautics and Space Administration,76.0,1949-04-28,,
382,John Casper,Retired,Government,National Aeronautics and Space Administration,82.0,1943-07-09,,
126,Gregory Harbaugh,Retired,Government,National Aeronautics and Space Administration,69.0,1956-04-15,,
415,Thomas Akers,Retired,Government,National Aeronautics and Space Administration,74.0,1951-05-20,,
400,Stephen S. Oswald,Retired,Government,National Aeronautics and Space Administration,74.0,1951-06-30,,
369,Richard N. Richards,Retired,Government,National Aeronautics and Space Administration,79.0,1946-08-24,,
479,Janet L. Kavandi,Retired,Government,National Aeronautics and Space Administration,66.0,1959-07-17,,
317,Paul J. Weitz,Deceased,Government,National Aeronautics and Space Administration,85.0,1932-07-25,2017-10-22,
333,Daniel Brandenstein,Retired,Government,National Aeronautics and Space Administration,82.0,1943-01-17,,
392,Mark C. Lee,Retired,Government,National Aeronautics and Space Administration,73.0,1952-08-14,,
462,Michael J. Bloomfield,Retired,Government,National Aeronautics and Space Administration,66.0,1959-03-16,,
834,Oleg Vladimirovich Platonov,Active,Government,Russian Federal Space Agency (ROSCOSMOS),29.0,1996-06-27,,
575,Zena Cardman,Active,Government,National Aeronautics and Space Administration,37.0,1987-10-26,,
131,Steven Hawley,Retired,Government,National Aeronautics and Space Administration,73.0,1951-12-12,,
139,Richard Hieb,Retired,Government,National Aeronautics and Space Administration,69.0,1955-09-21,,
476,Kalpana Chawla,Lost In Flight,Government,National Aeronautics and Space Administration,40.0,1962-03-17,2003-02-01,
519,Gregory H. Johnson,Retired,Government,National Aeronautics and Space Administration,63.0,1962-05-12,,
94,Takao Doi,Retired,Government,Japan Aerospace Exploration Agency,70.0,1954-09-18,,
301,Vance D. Brand,Retired,Government,National Aeronautics and Space Administration,94.0,1931-05-09,,
445,Daniel T. Barry,Retired,Government,National Aeronautics and Space Administration,71.0,1953-12-30,,
115,Viktor Gorbatko,Deceased,Government,Russian Federal Space Agency (ROSCOSMOS),82.0,1934-12-03,2017-05-17,
345,David M. Walker,Deceased,Government,National Aeronautics and Space Administration,56.0,1944-05-20,2001-04-23,
359,Margaret Rhea Seddon,Retired,Government,National Aeronautics and Space Administration,77.0,1947-11-08,,
341,Steven R. Nagel,Deceased,Government,National Aeronautics and Space Administration,67.0,1946-10-27,2014-08-21,
34,Jim Lovell,Deceased,Government,National Aeronautics and Space Administration,97.0,1928-03-25,2025-08-07,
393,G. David Low,Deceased,Government,National Aeronautics and Space Administration,52.0,1956-02-19,2008-03-15,
406,Carl J. Meade,Retired,Government,National Aeronautics and Space Administration,74.0,1950-11-16,,
478,Kathryn P. Hire,Retired,Government,National Aeronautics and Space Administration,66.0,1959-08-26,,
411,Kevin P. Chilton,Retired,Government,National Aeronautics and Space Administration,70.0,1954-11-03,,
112,Marc Garneau,Deceased,Government,Canadian Space Agency,76.0,1949-02-23,2025-06-04,
522,George D. Zamka,Retired,Government,National Aeronautics and Space Administration,63.0,1962-06-29,,
283,Vladislav Volkov,Lost In Flight,Government,Russian Federal Space Agency (ROSCOSMOS),35.0,1935-11-23,1971-06-30,
347,Guion Bluford,Retired,Government,National Aeronautics and Space Administration,82.0,1942-11-22,,
288,Dafydd Williams,Retired,Government,Canadian Space Agency,71.0,1954-05-16,,
540,Eric Boe,Active,Government,National Aeronautics and Space Administration,60.0,1964-10-01,,
388,Ellen S. Baker,Retired,Government,National Aeronautics and Space Administration,72.0,1953-04-27,,
364,Charles Bolden,Retired,Government,National Aeronautics and Space Administration,79.0,1946-08-19,,
89,Jean-François Clervoy,Active,Government,European Space Agency,66.0,1958-11-19,,
416,Jan Davis,Retired,Government,National Aeronautics and Space Administration,71.0,1953-11-01,,
53,Joseph P. Kerwin,Retired,Government,National Aeronautics and Space Administration,93.0,1932-02-19,,
413,William F. Readdy,Retired,Government,National Aeronautics and Space Administration,73.0,1952-01-24,,
521,Alan G. Poindexter,Deceased,Government,National Aeronautics and Space Administration,50.0,1961-11-05,2012-07-01,
430,Michael R. Clifford,Retired,Government,National Aeronautics and Space Administration,72.0,1952-10-13,,
532,John D. Olivas,Retired,Government,National Aeronautics and Space Administration,59.0,1966-05-25,,
461,Jeffrey Ashby,Retired,Government,National Aeronautics and Space Administration,71.0,1954-06-16,,
510,Heidemarie Stefanyshyn-Piper,Retired,Government,National Aeronautics and Space Administration,62.0,1963-02-07,,
490,Paul Lockhart,Retired,Government,National Aeronautics and Space Administration,69.0,1956-04-28,,
118,Umberto Guidoni,Retired,Government,European Space Agency,71.0,1954-08-18,,
407,Pierre J. Thuot,Retired,Government,National Aeronautics and Space Administration,70.0,1955-05-19,,
487,James M. Kelly,Retired,Government,National Aeronautics and Space Administration,61.0,1964-05-14,,
335,Richard O. Covey,Retired,Government,National Aeronautics and Space Administration,79.0,1946-08-01,,
108,Christer Fuglesang,Retired,Government,European Space Agency,68.0,1957-03-18,,
517,Lee Archambault,Retired,Government,National Aeronautics and Space Administration,65.0,1960-08-25,,
533,Nicholas Patrick,Retired,Government,National Aeronautics and Space Administration,60.0,1964-11-19,,
619,Charles Simonyi,Retired,Non-Astronaut Passenger,,76.0,1948-09-10,,
527,Michael Foreman,Retired,Government,National Aeronautics and Space Administration,68.0,1957-03-29,,
367,Ronald J. Grabe,Retired,Government,National Aeronautics and Space Administration,80.0,1945-06-13,,
152,Rick Husband,Lost In Flight,Government,National Aeronautics and Space Administration,45.0,1957-07-12,2003-02-01,
120,Claudie Haigneré,Retired,Government,European Space Agency,68.0,1957-05-13,,
600,Samuel T. Durrance,Deceased,Payload Specialist,National Aeronautics and Space Administration,79.0,1943-09-17,2023-05-05,
601,Ronald A. Parise,Deceased,Payload Specialist,National Aeronautics and Space Administration,56.0,1951-05-24,2008-05-09,
547,Alvin Drew,Retired,Government,National Aeronautics and Space Administration,62.0,1962-11-05,,
