id,name,status_name,type_name,agency_name,age,date_of_birth,date_of_death,nationality
255,Oleg Skripochka,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),55,1969-12-24,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
514,Jeffrey Williams,Active,Government,National Aeronautics and Space Administration,67,1958-01-18,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
273,Mikhail Tyurin,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),65,1960-03-02,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
171,Oleg Kotov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),59,1965-10-27,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
567,Mark T. Vande Hei,Active,Government,National Aeronautics and Space Administration,58,1966-11-10,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
489,Scott Kelly,Retired,Government,National Aeronautics and Space Administration,61,1964-02-21,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
169,Mikhail Kornienko,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),65,1960-04-15,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
585,Sergey Ryzhikov,Active,Government,Russian Federal Space Agency (ROSCOSMOS),51,1974-08-19,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
285,Koichi Wakata,Active,Government,Japan Aerospace Exploration Agency,62,1963-08-01,,"[{'id': 28, 'name': 'Japan', 'alpha_2_code': 'JP', 'alpha_3_code': 'JPN', 'nationality_name': 'Japanese', 'nationality_name_composed': 'Nippo'}]"
277,Aleksandr Viktorenko,Deceased,Government,Russian Federal Space Agency (ROSCOSMOS),76,1947-03-29,2023-08-10,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
154,Anatoli Ivanishin,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),56,1969-01-15,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
543,Barry E. Wilmore,Retired,Government,National Aeronautics and Space Administration,62,1962-12-29,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
544,Michael Barratt,Active,Government,National Aeronautics and Space Administration,66,1959-04-16,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
83,Nikolai Budarin,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),62,1963-04-29,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
234,Yury Romanenko,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),81,1944-08-01,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
646,Ivan Vagner,Active,Government,Russian Federal Space Agency (ROSCOSMOS),40,1985-07-10,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
500,Edward Michael Fincke,Active,Government,National Aeronautics and Space Administration,58,1967-03-14,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
1,Thomas Pesquet,Active,Government,European Space Agency,47,1978-02-27,,"[{'id': 1, 'name': 'France', 'alpha_2_code': 'FR', 'alpha_3_code': 'FRA', 'nationality_name': 'French', 'nationality_name_composed': 'Franco'}]"
281,Aleksandr Aleksandrovich Volkov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),77,1948-05-27,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
215,Yury Onufriyenko,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),64,1961-02-06,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
556,Robert S. Kimbrough,Retired,Government,National Aeronautics and Space Administration,58,1967-06-04,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
267,Vladimir Georgiyevich Titov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),78,1947-01-01,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
272,Vasily Tsibliyev,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),71,1954-02-20,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
170,Valery Korzun,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),72,1953-03-05,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
555,Christopher Cassidy,Retired,Government,National Aeronautics and Space Administration,55,1970-01-04,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
162,Leonid Kizim,Deceased,Government,Russian Federal Space Agency (ROSCOSMOS),68,1941-08-05,2010-06-14,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
666,Ye Guangfu,Active,Government,China National Space Administration,45,1980-09-01,,"[{'id': 6, 'name': 'China', 'alpha_2_code': 'CN', 'alpha_3_code': 'CHN', 'nationality_name': 'Chinese', 'nationality_name_composed': 'Sino'}]"
9,Nick Hague,Active,Government,National Aeronautics and Space Administration,49,1975-09-24,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
733,Nikolai Chub,Active,Government,Russian Federal Space Agency (ROSCOSMOS),41,1984-06-10,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
417,Michael Foale,Retired,Government,National Aeronautics and Space Administration,68,1957-01-06,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
246,Aleksandr Serebrov,Deceased,Government,Russian Federal Space Agency (ROSCOSMOS),69,1944-02-15,2013-11-12,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
